year,month,TF,ZW,STE
1200,1,-5.4208794311653,-0.020718392397687684,-0.9355348188012652
1200,2,-2.01142917866624,-0.16165431180713086,-0.8760960698968986
1200,3,-1.262207270931693,-0.0718805077999917,-1.012023896964982
1200,4,0.1971031231159452,-0.09781192558122766,-0.8544098833134004
1200,5,2.740095096320974,-0.04679547663166007,-0.5272747350946924
1200,6,3.144518813942533,-0.1829710124929345,-0.6415941221756916
1200,7,1.9500361974782088,-0.13587329118975053,-0.9371042974227214
1200,8,2.538136228061931,-0.1045912588510202,-1.0301644534241463
1200,9,3.585081459878518,-0.11372541032728427,-0.9700372082979536
1200,10,3.154319244105168,-0.09055325555366509,-1.309808600404831
1200,11,3.384127386970499,-0.12962020365782173,-1.2041852290454496
1200,12,4.525459743573851,-0.0968830503032799,-1.2542931532821748
1201,1,8.155995738406881,-0.12701517927556652,-1.2941272340181955
1201,2,9.013321526795734,-0.15897446380302743,-1.1153345804312986
1201,3,10.55311077896527,0.003840784246476078,-0.7844087239305844
1201,4,11.889503297028856,-0.05230864943431918,-0.4735069253150635
1201,5,11.958914872524463,-0.016592136747727866,-0.3050318378985643
1201,6,9.023644131429863,-0.012085921603532647,-0.112459380097419
1201,7,6.224159395690047,-0.08215440371199491,0.2227763531838166
1201,8,5.113264278136527,0.09655728604513052,0.2933508956194748
1201,9,5.325754867908447,-0.0070981218353135585,0.693137821863362
1201,10,4.231236265382301,0.04039064187251082,0.8392077505358121
1201,11,3.610064829671928,0.017007047631092113,1.131035190335366
1201,12,0.351927908725243,0.10856358410858748,1.0543991638832373
1202,1,-0.9949340803391986,0.11150047320021418,1.1644427500390282
1202,2,-1.694082883015906,0.21499137730911153,1.348418933453556
1202,3,-1.5717881342650109,0.10492053036114014,1.6076558229898907
1202,4,-4.093729794648558,0.17241483111604652,1.2792247008353574
1202,5,-5.7566039363395465,0.025870642207582572,0.9133969094761764
1202,6,-6.139351625671122,0.1718132318505496,1.0815476434575464
1202,7,-4.870312700415529,0.0627494187766012,1.2014372267662412
1202,8,-3.5845562783841625,0.10393124434402613,1.2439041852595736
1202,9,-3.103968349640072,0.056300409970749726,1.207163084259438
1202,10,-3.436031943381094,0.09497472823160986,1.146930669821567
1202,11,-4.146840512737437,0.03689243242312536,1.1252103193239924
1202,12,-5.509137930000234,0.09831372882534135,1.1207628662210978
1203,1,-5.095700282008122,0.09028410355556897,1.2796706030438132
1203,2,-8.984220516837523,0.0438712545678823,0.924485366827454
1203,3,-10.027824713525634,-0.007970366670475501,0.3022018798515352
1203,4,-11.768744089988727,-0.06589999222300046,-0.0581582053679391
1203,5,-12.409272013769105,-0.03576357357577411,-0.2218582222378735
1203,6,-10.18357989844228,-0.06322087379335545,-1.0590483533973334
1203,7,-7.469984922440195,-0.0912972611404064,-1.5852036941307102
1203,8,-3.687307680613495,-0.03617168166306764,-1.6450987991374424
1203,9,-1.79897048267593,-0.018369091888015828,-1.710211693781976
1203,10,-0.9811451370712988,-0.07320273520029841,-1.7229533259477972
1203,11,0.7141507297596663,-0.09385298955138073,-1.797270585830864
1203,12,3.6008424425790952,-0.08327775774623278,-1.6409148437580403
1204,1,5.763825201005404,-0.1255981899248875,-1.4654763964037651
1204,2,5.972322214848962,-0.19789984764461474,-1.3229427536833136
1204,3,6.80116580678117,-0.017826915663028898,-1.1440018672051415
1204,4,8.458246831070019,-0.08412324439679045,-0.9263617841466943
1204,5,8.456529490097983,-0.06655388808795157,-0.8083310978739751
1204,6,8.224562160152086,-0.02619990162100218,-0.4708993002196745
1204,7,6.911801444312888,-0.0766319427098851,-0.2946698389401344
1204,8,5.105154383076063,-0.10409908383249589,-0.2536410457984688
1204,9,3.6067675645677584,-0.149117986239199,-0.2221228698764681
1204,10,1.8094871752715176,-0.12944540223332343,-0.5153650095777013
1204,11,1.755338798941106,-0.033135612108658175,-0.7729704369684108
1204,12,3.798844848428412,-0.037922258533209206,-0.7563267967695871
1205,1,5.159243719760064,-0.13490249589969078,-0.744152225223103
1205,2,4.672014220076036,0.06324067155993028,-0.3554070914458666
1205,3,5.087537196920915,-0.08307109586658473,-0.180480969975963
1205,4,4.775909939605868,-0.0105805637630307,-0.0339148226525741
1205,5,5.100485349884658,-0.03167744666234638,0.1823757875291285
1205,6,3.1432213220229075,0.05167178233136058,0.1103606015117583
1205,7,3.965635118596688,0.01711472785769273,0.3323057558275778
1205,8,5.090369363938543,-0.03514201018572812,0.7386954168366007
1205,9,3.706377665016384,0.016780174750300792,0.6616346263544337
1205,10,3.682945571429319,0.02412492037595208,0.4477720177461204
1205,11,4.8081849769806535,0.01893078180295204,0.5640235339801355
1205,12,4.385529577540859,0.09159555215493392,0.5161500651866663
1206,1,4.911534564277154,0.030778238192812626,0.5864825507604405
1206,2,3.0978863215382675,0.014361087126217887,0.6487395757271505
1206,3,1.617244496043036,0.1342040904615254,0.8821320559783505
1206,4,1.876024089207318,0.14248471288685605,1.1094879127262125
1206,5,1.3974294294341276,0.08929213922676721,0.9719579016556668
1206,6,0.824865573141867,0.10509688719444406,1.1917283078438985
1206,7,0.7013641065732271,0.20788405324837902,1.7164449927486851
1206,8,1.726694565986715,0.27408036462280355,2.2902984461888023
1206,9,0.1088380791047345,0.09750550665853307,2.35851829957402
1206,10,0.0848270460544376,0.2388825081962417,2.5861482761813623
1206,11,-1.1739018192441668,0.16125849052867103,2.858564351203919
1206,12,-5.461316897006459,0.3753590207245415,2.8834836063995084
1207,1,-10.229998777175952,0.19588019442977964,2.6702335324337323
1207,2,-16.592909886424533,0.15459651465412752,2.2581187209996365
1207,3,-20.9545989215972,0.0888317558643649,1.2855667860367648
1207,4,-22.652197685021527,0.007257925333734668,0.4469955827645405
1207,5,-21.92487570797497,0.03739685756792023,-0.0177890227731674
1207,6,-18.315248678819422,-0.07480664488827737,-0.8658699023194384
1207,7,-14.703379815455069,-0.09135195014105875,-1.9528309928162184
1207,8,-12.049262802593605,-0.09330806848906394,-2.358241522905789
1207,9,-11.0105826499967,-0.11808257433842717,-2.8657798365536853
1207,10,-7.383387609804654,-0.16301083542362865,-2.9108438529809773
1207,11,-5.731943099664177,-0.19973455265902473,-2.6676312662695496
1207,12,-2.202858753351922,-0.23890384444718696,-2.620284211086218
1208,1,2.2308554874245514,-0.1628609118731797,-2.500729576161783
1208,2,6.449092639014213,-0.14254922680844467,-2.2543336173617345
1208,3,6.962305451914555,-0.21788305200422833,-1.9646546253231048
1208,4,7.06266223647483,-0.12647415482415886,-1.5199905018577102
1208,5,8.25351189567377,-0.07771910408118785,-1.3184584775972434
1208,6,8.258528779597958,-0.12388054570178147,-1.1157861866917318
1208,7,7.6105386371149875,-0.05274081479484298,-1.0042727002196197
1208,8,6.315789842256051,-0.20009504504581416,-0.9283335975758992
1208,9,3.449523443058641,-0.20259498136018203,-1.0491894464269649
1208,10,1.9065525583927423,-0.1690749644988847,-1.1321482061105763
1208,11,1.069674423760414,-0.21523521606389098,-1.2624877761030913
1208,12,2.4738354850493067,-0.1367144530547068,-1.2282108663035824
1209,1,5.1469720328320765,-0.14906510411040177,-1.080732690686145
1209,2,5.3342577008681165,-0.1776009740144162,-0.9061943203223892
1209,3,4.237019758886286,-0.09336149790126273,-0.9146776228693402
1209,4,6.846690237206386,-0.04879795350279037,-0.7268437618333187
1209,5,7.696168904169844,-0.08334890753743816,-0.5416941457603871
1209,6,5.657519941907166,-0.08984898827365839,-0.4031468195814841
1209,7,5.600774102089362,-0.08093991356251612,-0.3732338811713964
1209,8,5.490361754740484,-0.11715748327732703,-0.2937554486933993
1209,9,4.863045240470642,-0.08220359976860599,-0.1730258672757797
1209,10,4.136553727007483,-0.04391383188593526,-0.1569918066299745
1209,11,4.794149591302348,0.04975241955757536,-0.1515150296424141
1209,12,6.743397438140953,-0.08117030627079772,-0.152866932129365
1210,1,5.5403049496957095,-0.05528782329531194,-0.0732145406052558
1210,2,6.276534280777456,0.033241027649560446,0.1311839862613893
1210,3,7.057539712578546,-0.04645460442866496,0.1838260847793255
1210,4,6.703748945156585,0.05368529073005127,0.4079406901535891
1210,5,5.907697959032149,0.03680609158144085,0.5422238776124505
1210,6,5.57372254612119,0.09237303950721588,0.7282063792214063
1210,7,4.684886495402682,0.19261691632592565,1.1150954071097612
1210,8,3.736909902594767,0.14179093553274236,1.6342676018926696
1210,9,3.204483649873633,0.1397080275467627,1.8435659056454112
1210,10,2.391763148096965,0.0767707761977362,1.991530220786975
1210,11,0.6127117431944598,0.12334874459639042,1.9021212512098808
1210,12,-1.6790540034172046,0.08261435404595727,2.0808407495484147
1211,1,-4.82629217440909,0.14708053839517637,2.045682737996446
1211,2,-6.849308985119922,0.23733602334161708,1.8362511041436649
1211,3,-8.043442759587482,0.0923807299523189,1.5750664465723196
1211,4,-8.762258573391165,0.0935674452374128,1.3736106927219218
1211,5,-9.317162659954688,0.06844947804175025,1.1567331661864897
1211,6,-9.544675033507437,0.09115129537238922,1.0443767996514297
1211,7,-6.6451276386347775,0.13062935470067086,1.1656531359945554
1211,8,-6.021082953901256,0.09534020854715558,0.9772083570758632
1211,9,-5.298919762442146,0.1500806180416355,0.7338719706214735
1211,10,-4.09125316611581,0.06209022076832904,1.063780871891122
1211,11,-4.4600369291233015,0.016771599618988078,1.1576986170771526
1211,12,-5.967913034483122,0.07822801778708977,1.0057871230955375
1212,1,-7.838806757565492,0.09523850455289272,0.8932921531509868
1212,2,-8.085935275635686,0.06912306305356056,0.830558136695738
1212,3,-9.341827109573396,0.023577293761861767,0.6020517012032583
1212,4,-11.17052318361797,0.01618966814762851,0.3713822783886024
1212,5,-10.701475459790158,0.0073741819692887366,0.2641721217567069
1212,6,-9.451713303475069,-0.08432476751179528,-0.2428429602466911
1212,7,-8.490430232302504,-0.10206108558562886,-0.6780379442438894
1212,8,-8.38018794590648,-0.17242304074243325,-1.2821642792732602
1212,9,-8.445975299032119,-0.14299689673137106,-2.1071652836601493
1212,10,-6.529660901592524,-0.08348848961719009,-2.406515418472017
1212,11,-2.9900197907100328,-0.09603273918688392,-2.30403932959982
1212,12,-0.3972265576352469,-0.19684797902919116,-2.060309469923476
1213,1,2.348830751781783,-0.1438312357021637,-1.9783152650910103
1213,2,5.734657446609148,-0.12988960352787282,-1.769967200771248
1213,3,8.241222413438608,-0.14188170644382875,-1.3587413959222274
1213,4,8.88101398491714,-0.1104590340228429,-1.0899972564481586
1213,5,9.513306019028771,-0.11339432283626634,-0.9843819416318144
1213,6,9.01874065492802,-0.07150793432530361,-0.8221060917622337
1213,7,7.600751781609909,-0.1651824359182864,-0.8534272341201039
1213,8,6.618795012827803,-0.03201357218363101,-0.7013133217365605
1213,9,5.652192419022855,-0.1937191532869471,-0.6255194313302929
1213,10,4.464827029317388,-0.0668255297665734,-0.910333610459884
1213,11,6.956556523576138,-0.06770255337833193,-1.0966008094122974
1213,12,8.876986238335647,-0.15875792605152564,-1.1352179372651086
1214,1,10.783525405814524,0.05559812630522539,-1.0049893150075675
1214,2,14.060948498904107,-0.08791267724196983,-0.6333182287329274
1214,3,13.623126556177494,-0.003528084011450727,-0.1959908372221584
1214,4,12.29342445327032,0.020776233709878453,0.2654180828879017
1214,5,11.059376470125937,0.04964364177233326,0.3395469520569686
1214,6,9.57559970489802,0.030042154346588513,0.5809015648164318
1214,7,6.914147138958768,0.09508240738681968,0.8673980441097966
1214,8,5.955540694302509,0.15052584166407862,1.1979411299202216
1214,9,6.010531884931373,0.08969469257551942,1.501950807801825
1214,10,6.08611775916513,0.1663734375551152,1.8801296373286136
1214,11,4.165709798441175,0.10929258982135107,2.229149740839361
1214,12,1.4203013211143456,0.2557428073151258,2.413207728162479
1215,1,-1.9478816875836915,0.3486380598234396,2.4750755984206925
1215,2,-3.581140140127075,0.24260623211753435,2.5052397967726767
1215,3,-5.7478257668718,0.17190542898340525,1.9449948105639552
1215,4,-9.375504133312615,0.16129594793531302,1.5733227411382136
1215,5,-10.923328428462217,0.1055750902157505,1.3623841281878597
1215,6,-11.136851776027004,0.11785830634933074,1.0732207530105713
1215,7,-10.36528599760892,0.06331801368075152,1.175950503554812
1215,8,-11.256679258733405,0.012524692251358011,0.91207983592548
1215,9,-10.074359408109371,0.03441407339562098,0.381406014345154
1215,10,-9.436454224376751,0.00859602108973878,0.5632173673550743
1215,11,-9.050420704849587,0.0196754556754187,0.5018711340682369
1215,12,-8.171180956089389,0.042882991818084054,0.3245325830233886
1216,1,-9.116969622748728,-0.055428169707044575,0.1021313698820446
1216,2,-8.490345484886598,0.03885469998448628,0.151610510673644
1216,3,-8.609311947099043,-0.0830699440131683,-0.0882694719276598
1216,4,-8.714910293810147,-0.024188932618621966,0.0445118038013821
1216,5,-8.449890894064527,-0.0942404750807572,-0.0939924287000605
1216,6,-7.32738651161563,-0.0818646460105182,-0.5029475492072281
1216,7,-6.68771820046211,-0.14656093739884668,-0.9058889185417311
1216,8,-6.4884945948732256,-0.09723933566731562,-1.4187640555510832
1216,9,-5.32698541152544,-0.03313798845050681,-1.743920261553986
1216,10,-3.014585132735268,-0.02914017149522824,-1.940313213757892
1216,11,-1.832382098129334,-0.13265163260772134,-1.8871728524921976
1216,12,-0.8730201270251898,-0.16899498123657886,-1.9847600971900208
1217,1,3.0069257516661083,-0.08456927266676141,-1.9423901853259653
1217,2,7.832644111371479,-0.16940201143134972,-1.5738940503551615
1217,3,7.676710967040917,-0.1464929929018976,-1.038312255240859
1217,4,7.715003556249995,-0.049294481426420615,-0.7823229740739635
